,time,distance_left,distance_right,velocity_left,velocity_right,distance_horizontal,velocity_horizontal,distance_bottom,velocity_bottom,radius_horizontal,radius_vertical,diameter_horizontal,diameter_vertical
20,0.3894596388828637,15.700000000000001,15.9,57.711218910030766,56.488523594140275,15.8,57.09987125208552,16.400000000000002,59.17845328909934,40.7,39.75,212.70000000000002,223.5
21,0.40893262082700693,17.0,17.2,61.8683829840584,59.66753141545553,17.1,60.767957199756964,17.7,62.35746111041459,42.0,41.05,212.70000000000002,223.5
22,0.4284056027711501,18.6,18.2,63.09107829994888,61.3793048577022,18.4,62.23519157882554,19.0,63.09107829994888,43.300000000000004,42.349999999999994,212.70000000000002,223.5
23,0.4478785847152933,19.6,19.700000000000003,65.29192986855176,62.3574611104146,19.650000000000002,63.82469548948317,20.3,64.80285174219557,44.550000000000004,43.64999999999999,212.70000000000002,223.5
24,0.46735156665943645,21.0,20.900000000000002,66.75916424762033,63.580156426305074,20.950000000000003,65.1696603369627,21.6,65.53646893172984,45.85,44.949999999999996,212.70000000000002,223.5
25,0.48682454860357965,22.3,22.1,67.24824237397652,65.29192986855175,22.200000000000003,66.27008612126414,22.900000000000002,67.00370331079843,47.1,46.25,212.70000000000002,223.5
26,0.5062975305477229,23.8,23.400000000000002,67.98185956351081,66.51462518444222,23.6,67.24824237397652,24.5,68.2263986266889,48.5,47.849999999999994,212.70000000000002,223.5
27,0.525770512491866,25.0,24.6,68.7154767530451,67.24824237397652,24.8,67.98185956351082,25.700000000000003,69.20455487940129,49.7,49.05,212.70000000000002,223.5
28,0.5452434944360092,26.200000000000003,26.0,69.4490939425794,67.98185956351081,26.1,68.7154767530451,27.0,70.18271113211368,51.0,50.349999999999994,212.70000000000002,223.5
29,0.5647164763801524,27.6,27.400000000000002,69.93817206893559,67.98185956351081,27.5,68.9600158162232,28.3,70.42725019529179,52.400000000000006,51.64999999999999,212.70000000000002,223.5
30,0.5841894583242956,28.900000000000002,28.6,69.4490939425794,68.7154767530451,28.75,69.08228534781225,29.700000000000003,71.16086738482608,53.650000000000006,53.05,212.70000000000002,223.5
31,0.6036624402684387,30.6,29.900000000000002,69.2045548794013,69.69363300575749,30.25,69.4490939425794,31.0,70.91632832164797,55.150000000000006,54.349999999999994,212.70000000000002,223.5
32,0.623135422212582,31.8,31.6,69.20455487940129,69.69363300575749,31.700000000000003,69.4490939425794,32.300000000000004,70.91632832164797,56.6,55.65,212.70000000000002,223.5
33,0.6426084041567252,33.2,33.0,68.2263986266889,70.67178925846989,33.1,69.4490939425794,33.800000000000004,71.16086738482606,58.0,57.15,212.70000000000002,223.5
34,0.6620813861008683,34.7,34.300000000000004,69.20455487940129,70.67178925846987,34.5,69.93817206893559,35.1,71.89448457436035,59.400000000000006,58.449999999999996,212.70000000000002,223.5
35,0.6815543680450115,36.0,35.800000000000004,69.4490939425794,70.67178925846987,35.900000000000006,70.06044160052463,36.7,71.40540644800416,60.800000000000004,60.05,212.70000000000002,223.5
36,0.7010273499891547,37.4,37.1,69.69363300575749,71.64994551118227,37.25,70.67178925846989,38.1,72.38356270071654,62.150000000000006,61.449999999999996,212.70000000000002,223.5
37,0.7205003319332979,38.800000000000004,38.5,69.4490939425794,71.40540644800417,38.650000000000006,70.42725019529178,39.6,71.89448457436035,63.550000000000004,62.949999999999996,212.70000000000002,223.5
38,0.739973313877441,40.300000000000004,40.1,69.69363300575749,72.38356270071654,40.2,71.03859785323704,41.1,72.38356270071655,65.10000000000001,64.44999999999999,212.70000000000002,223.5
39,0.7594462958215843,41.6,41.400000000000006,71.40540644800416,72.38356270071655,41.5,71.89448457436036,42.5,73.36171895342893,66.4,65.85,212.70000000000002,223.5
40,0.7789192777657274,42.800000000000004,42.800000000000004,70.42725019529179,72.62810176389465,42.800000000000004,71.52767597959321,44.1,72.38356270071655,67.7,67.44999999999999,212.70000000000002,223.5
41,0.7983922597098706,44.0,44.400000000000006,70.91632832164797,73.36171895342893,44.2,72.13902363753846,45.400000000000006,72.87264082707274,69.10000000000001,68.75,212.70000000000002,223.5
42,0.8178652416540139,45.300000000000004,45.7,70.42725019529178,73.60625801660703,45.5,72.0167541059494,46.7,72.87264082707273,70.4,70.05,212.70000000000002,223.5
43,0.837338223598157,46.5,47.1,70.91632832164797,73.36171895342893,46.8,72.13902363753846,48.1,73.36171895342892,71.7,71.44999999999999,212.70000000000002,223.5
44,0.8568112055423002,47.900000000000006,48.6,71.16086738482606,74.33987520614131,48.25,72.75037129548369,49.7,73.85079707978512,73.15,73.05,212.70000000000002,223.5
45,0.8762841874864433,49.400000000000006,49.800000000000004,71.40540644800417,74.33987520614133,49.60000000000001,72.87264082707274,50.800000000000004,74.09533614296322,74.5,74.15,212.70000000000002,223.5
46,0.8957571694305866,50.800000000000004,51.400000000000006,72.13902363753846,74.33987520614131,51.10000000000001,73.23944942183988,52.5,73.60625801660703,76.0,75.85,212.70000000000002,223.5
47,0.9152301513747297,52.2,52.6,71.89448457436036,74.82895333249752,52.400000000000006,73.36171895342893,53.900000000000006,73.11717989025084,77.30000000000001,77.25,212.70000000000002,223.5
48,0.9347031333188729,53.5,54.2,71.89448457436036,74.8289533324975,53.85,73.36171895342893,55.300000000000004,73.60625801660703,78.75,78.65,212.70000000000002,223.5
49,0.9541761152630162,55.400000000000006,55.6,71.40540644800416,74.33987520614131,55.5,72.87264082707274,57.0,73.11717989025084,80.4,80.35,212.70000000000002,223.5
50,0.9736490972071593,56.400000000000006,57.1,70.42725019529178,74.33987520614131,56.75,72.38356270071655,57.900000000000006,73.60625801660703,81.65,81.25,212.70000000000002,223.5
51,0.9931220791513025,57.900000000000006,58.6,70.42725019529178,73.36171895342893,58.25,71.89448457436035,59.5,72.87264082707274,83.15,82.85,212.70000000000002,223.5
52,1.0125950610954457,59.400000000000006,60.0,70.42725019529178,72.13902363753846,59.7,71.28313691641512,60.800000000000004,72.62810176389465,84.60000000000001,84.15,212.70000000000002,223.5
53,1.0320680430395888,60.800000000000004,61.6,69.20455487940129,71.89448457436036,61.2,70.54951972688082,62.300000000000004,72.62810176389465,86.10000000000001,85.65,212.70000000000002,223.5
54,1.051541024983732,62.300000000000004,63.400000000000006,69.20455487940129,71.16086738482608,62.85000000000001,70.18271113211368,64.0,72.13902363753846,87.75,87.35,212.70000000000002,223.5
55,1.0710140069278753,63.900000000000006,64.7,67.73732050033271,69.20455487940129,64.30000000000001,68.470937689867,65.4,70.91632832164797,89.2,88.75,212.70000000000002,223.5
56,1.0904869888720183,65.5,66.2,67.24824237397652,68.7154767530451,65.85,67.98185956351081,66.8,71.40540644800416,90.75,90.14999999999999,212.70000000000002,223.5
57,1.1099599708161616,66.8,67.7,65.04739080537365,66.51462518444222,67.25,65.78100799490794,68.0,69.4490939425794,92.15,91.35,212.70000000000002,223.5
